class_name
46,Mammal
12,Fish
15,Invertebrate
72,Mammal
113,Bird
24,Bug
68,Mammal
22,Mammal
38,Mammal
57,Mammal
83,Invertebrate
32,Bug
64,Reptile
74,Invertebrate
9,Mammal
35,Bird
119,Reptile
70,Mammal
30,Mammal
49,Mammal
86,Mammal
5,Mammal
79,Invertebrate
69,Mammal
41,Bug
51,Mammal
37,Mammal
16,Bird
67,Mammal
36,Fish
87,Invertebrate
7,Fish
45,Bird
118,Mammal
80,Bird
29,Mammal
19,Mammal
96,Mammal
109,Fish
25,Amphibian
8,Fish
13,Invertebrate
85,Bird
3,Mammal
17,Mammal
40,Fish
93,Reptile
6,Mammal
78,Reptile
104,Mammal
95,Mammal
56,Mammal
52,Mammal
114,Bug
48,Invertebrate
82,Reptile
63,Fish
120,Reptile
81,Bird
121,Reptile
43,Bird
60,Bird
50,Mammal
102,Bird
59,Bird
77,Mammal
34,Mammal
116,Mammal
61,Bird
65,Mammal
100,Mammal
39,Bird
31,Mammal
110,Mammal
1,Mammal
54,Amphibian
21,Bird
2,Fish
23,Bird
107,Invertebrate
101,Invertebrate
89,Bird
112,Bird
76,Mammal
88,Fish
84,Fish
123,Reptile
20,Bird
62,Fish
73,Bird
111,Mammal
14,Invertebrate
94,Fish
53,Bug
106,Reptile
